Epoch 1: Train Loss=0.4687, Val Loss=0.2577, Train IoU=0.6402, Val IoU=0.4788, Train Dice=0.7593, Val Dice=0.5476, Train Pixel Acc=0.8283, Val Pixel Acc=0.9101, Train Precision=0.7749, Val Precision=0.6049, Train Recall=0.7719, Val Recall=0.6045, Time=626.2s
Epoch 2: Train Loss=0.3410, Val Loss=0.2279, Train IoU=0.7197, Val IoU=0.5256, Train Dice=0.8221, Val Dice=0.5985, Train Pixel Acc=0.8774, Val Pixel Acc=0.9240, Train Precision=0.8336, Val Precision=0.6346, Train Recall=0.8294, Val Recall=0.6548, Time=635.0s
Epoch 3: Train Loss=0.3027, Val Loss=0.1963, Train IoU=0.7447, Val IoU=0.5663, Train Dice=0.8399, Val Dice=0.6416, Train Pixel Acc=0.8917, Val Pixel Acc=0.9306, Train Precision=0.8508, Val Precision=0.6789, Train Recall=0.8455, Val Recall=0.6934, Time=635.2s
Epoch 4: Train Loss=0.2751, Val Loss=0.1793, Train IoU=0.7651, Val IoU=0.5808, Train Dice=0.8551, Val Dice=0.6556, Train Pixel Acc=0.9010, Val Pixel Acc=0.9370, Train Precision=0.8646, Val Precision=0.6879, Train Recall=0.8604, Val Recall=0.7215, Time=634.5s
Epoch 5: Train Loss=0.2638, Val Loss=0.1761, Train IoU=0.7727, Val IoU=0.5762, Train Dice=0.8602, Val Dice=0.6509, Train Pixel Acc=0.9053, Val Pixel Acc=0.9372, Train Precision=0.8685, Val Precision=0.7113, Train Recall=0.8650, Val Recall=0.7017, Time=633.8s
Epoch 6: Train Loss=0.2478, Val Loss=0.1732, Train IoU=0.7848, Val IoU=0.6029, Train Dice=0.8690, Val Dice=0.6810, Train Pixel Acc=0.9110, Val Pixel Acc=0.9384, Train Precision=0.8774, Val Precision=0.6964, Train Recall=0.8727, Val Recall=0.7514, Time=635.1s
Epoch 7: Train Loss=0.2404, Val Loss=0.1659, Train IoU=0.7905, Val IoU=0.6068, Train Dice=0.8728, Val Dice=0.6823, Train Pixel Acc=0.9135, Val Pixel Acc=0.9403, Train Precision=0.8818, Val Precision=0.7180, Train Recall=0.8763, Val Recall=0.7325, Time=634.6s
Epoch 8: Train Loss=0.2295, Val Loss=0.1568, Train IoU=0.7994, Val IoU=0.6079, Train Dice=0.8791, Val Dice=0.6794, Train Pixel Acc=0.9173, Val Pixel Acc=0.9436, Train Precision=0.8866, Val Precision=0.7134, Train Recall=0.8817, Val Recall=0.7395, Time=634.2s
Epoch 9: Train Loss=0.2306, Val Loss=0.1569, Train IoU=0.8000, Val IoU=0.6142, Train Dice=0.8796, Val Dice=0.6877, Train Pixel Acc=0.9175, Val Pixel Acc=0.9438, Train Precision=0.8884, Val Precision=0.7112, Train Recall=0.8817, Val Recall=0.7517, Time=632.6s
Epoch 10: Train Loss=0.2214, Val Loss=0.1601, Train IoU=0.8056, Val IoU=0.6143, Train Dice=0.8833, Val Dice=0.6885, Train Pixel Acc=0.9206, Val Pixel Acc=0.9423, Train Precision=0.8917, Val Precision=0.7079, Train Recall=0.8853, Val Recall=0.7571, Time=632.5s
Epoch 11: Train Loss=0.2181, Val Loss=0.1525, Train IoU=0.8071, Val IoU=0.6175, Train Dice=0.8839, Val Dice=0.6903, Train Pixel Acc=0.9213, Val Pixel Acc=0.9458, Train Precision=0.8924, Val Precision=0.7215, Train Recall=0.8863, Val Recall=0.7500, Time=634.1s
Epoch 12: Train Loss=0.2120, Val Loss=0.1454, Train IoU=0.8135, Val IoU=0.6259, Train Dice=0.8887, Val Dice=0.6976, Train Pixel Acc=0.9237, Val Pixel Acc=0.9480, Train Precision=0.8965, Val Precision=0.7316, Train Recall=0.8906, Val Recall=0.7554, Time=635.2s
