epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.185,1.43849,2.22392,1.49085,0.42191,0.35098,0.32399,0.17583,1.60794,2.13167,1.77947,0.0670508,0.000332821,0.000332821
2,243.962,1.40821,1.80924,1.48775,0.50651,0.41623,0.44375,0.25513,1.51689,1.75404,1.65512,0.0340442,0.000659559,0.000659559
3,361.274,1.37209,1.71521,1.46968,0.56759,0.45381,0.47732,0.29302,1.37764,1.51042,1.52792,0.00103098,0.000979697,0.000979697
4,477.781,1.34918,1.65411,1.45112,0.67797,0.45721,0.5231,0.33298,1.31621,1.44505,1.47494,0.0009703,0.0009703,0.0009703
5,596.509,1.30241,1.54167,1.41327,0.64845,0.51005,0.54607,0.35183,1.30675,1.35917,1.45156,0.0009604,0.0009604,0.0009604
6,716.098,1.27697,1.47931,1.39515,0.65145,0.51409,0.57903,0.3866,1.23064,1.21191,1.39386,0.0009505,0.0009505,0.0009505
7,834.02,1.24095,1.41724,1.37367,0.64101,0.52958,0.56375,0.37245,1.19697,1.26685,1.3898,0.0009406,0.0009406,0.0009406
8,951.628,1.22326,1.37987,1.3578,0.66541,0.5603,0.60828,0.41556,1.17133,1.14364,1.34603,0.0009307,0.0009307,0.0009307
9,1068.96,1.2094,1.35116,1.35279,0.69646,0.56602,0.62106,0.42339,1.16716,1.12289,1.3367,0.0009208,0.0009208,0.0009208
10,1186.79,1.18569,1.30109,1.33019,0.70691,0.59479,0.64597,0.45455,1.09203,1.03547,1.28408,0.0009109,0.0009109,0.0009109
11,1304.12,1.1759,1.26586,1.32237,0.68801,0.57655,0.64184,0.44215,1.13358,1.07769,1.31408,0.000901,0.000901,0.000901
12,1421.58,1.16027,1.25322,1.31624,0.70036,0.59239,0.66428,0.4645,1.09018,1.00787,1.27932,0.0008911,0.0008911,0.0008911
13,1539.45,1.14991,1.23628,1.30548,0.72804,0.58927,0.67094,0.4778,1.07591,0.99417,1.26652,0.0008812,0.0008812,0.0008812
14,1657.17,1.13501,1.20426,1.29313,0.71586,0.59068,0.66248,0.47293,1.08936,0.99374,1.2619,0.0008713,0.0008713,0.0008713
15,1774.43,1.12292,1.17542,1.28331,0.75549,0.60042,0.68001,0.48312,1.07155,0.95252,1.26221,0.0008614,0.0008614,0.0008614
16,1892.03,1.12533,1.17434,1.286,0.70316,0.62249,0.68925,0.49329,1.05032,0.94002,1.25206,0.0008515,0.0008515,0.0008515
17,2008.83,1.10644,1.15954,1.2778,0.70747,0.61771,0.68251,0.49047,1.03005,0.90927,1.23416,0.0008416,0.0008416,0.0008416
18,2126.35,1.10673,1.13733,1.2749,0.74161,0.63955,0.7018,0.50837,1.02857,0.90758,1.2228,0.0008317,0.0008317,0.0008317
19,2244.15,1.09678,1.11915,1.27012,0.74113,0.62234,0.69997,0.50404,1.03683,0.89393,1.22706,0.0008218,0.0008218,0.0008218
20,2362.06,1.09,1.10632,1.26285,0.76854,0.62711,0.70951,0.51561,1.01483,0.88225,1.21646,0.0008119,0.0008119,0.0008119
21,2479.38,1.06392,1.08129,1.24791,0.70838,0.64651,0.70239,0.51057,1.0018,0.87499,1.20401,0.000802,0.000802,0.000802
22,2597.96,1.07401,1.08581,1.24775,0.76785,0.63704,0.71702,0.52647,0.99789,0.84486,1.19493,0.0007921,0.0007921,0.0007921
23,2715.27,1.06686,1.05933,1.24151,0.76017,0.64988,0.72061,0.52426,1.00299,0.83865,1.19575,0.0007822,0.0007822,0.0007822
24,2833.24,1.06762,1.06603,1.24338,0.7537,0.63387,0.71416,0.52605,0.9782,0.82618,1.18195,0.0007723,0.0007723,0.0007723
25,2950.99,1.05885,1.04792,1.23893,0.77714,0.64124,0.73172,0.54036,0.98056,0.81027,1.18358,0.0007624,0.0007624,0.0007624
26,3068.68,1.05242,1.03755,1.23516,0.77064,0.66606,0.74144,0.54664,0.97459,0.81619,1.17943,0.0007525,0.0007525,0.0007525
27,3185.61,1.04366,1.01865,1.23224,0.76709,0.66506,0.74067,0.55023,0.95212,0.80261,1.16754,0.0007426,0.0007426,0.0007426
28,3302.39,1.04403,1.02467,1.23293,0.76993,0.65734,0.74772,0.55681,0.94292,0.7879,1.16803,0.0007327,0.0007327,0.0007327
29,3419.23,1.03642,1.01302,1.22375,0.76358,0.67486,0.75017,0.56015,0.95034,0.78211,1.1636,0.0007228,0.0007228,0.0007228
30,3536.93,1.02505,0.99339,1.21526,0.74771,0.67286,0.74391,0.55969,0.93676,0.77846,1.15145,0.0007129,0.0007129,0.0007129
31,3653.75,1.0226,0.9849,1.21464,0.79162,0.6604,0.76134,0.57348,0.94472,0.76567,1.1529,0.000703,0.000703,0.000703
32,3771.27,1.01179,0.96858,1.20828,0.79807,0.66891,0.76338,0.57639,0.92973,0.75062,1.14617,0.0006931,0.0006931,0.0006931
33,3888.17,1.01153,0.96141,1.20724,0.7542,0.69977,0.76215,0.5741,0.93137,0.75366,1.14974,0.0006832,0.0006832,0.0006832
34,4004.72,1.00601,0.96251,1.20504,0.78542,0.68808,0.76542,0.57991,0.92148,0.73386,1.14133,0.0006733,0.0006733,0.0006733
35,4121.47,1.00112,0.95138,1.19905,0.80045,0.68738,0.76779,0.57757,0.9215,0.73496,1.14092,0.0006634,0.0006634,0.0006634
36,4238.51,0.99709,0.94833,1.19386,0.782,0.69183,0.77261,0.58167,0.91834,0.73085,1.13693,0.0006535,0.0006535,0.0006535
37,4355.52,0.99581,0.94814,1.19814,0.82468,0.68047,0.77575,0.59146,0.90328,0.71815,1.1224,0.0006436,0.0006436,0.0006436
38,4472.86,0.98517,0.92579,1.19157,0.78288,0.70463,0.77975,0.59409,0.90689,0.72124,1.12778,0.0006337,0.0006337,0.0006337
39,4589.65,0.98205,0.92195,1.18597,0.81317,0.67508,0.77262,0.59538,0.89134,0.7078,1.11491,0.0006238,0.0006238,0.0006238
40,4705.97,0.97379,0.92022,1.18273,0.79677,0.69687,0.78862,0.60376,0.89048,0.70163,1.11634,0.0006139,0.0006139,0.0006139
41,4822.42,0.97843,0.91586,1.18682,0.78425,0.70399,0.78155,0.59799,0.89501,0.70208,1.11721,0.000604,0.000604,0.000604
42,4940.41,0.96722,0.90454,1.17759,0.79952,0.70499,0.78546,0.60374,0.88102,0.69605,1.10938,0.0005941,0.0005941,0.0005941
43,5058.22,0.96818,0.89991,1.18014,0.77837,0.7268,0.79208,0.60925,0.87515,0.68768,1.10435,0.0005842,0.0005842,0.0005842
44,5174.29,0.96234,0.89762,1.17609,0.788,0.72115,0.79005,0.6078,0.87544,0.68475,1.10238,0.0005743,0.0005743,0.0005743
45,5290.21,0.96506,0.88578,1.17853,0.81332,0.71371,0.79308,0.61302,0.8659,0.67621,1.09862,0.0005644,0.0005644,0.0005644
46,5406.8,0.96503,0.88331,1.17293,0.79173,0.7291,0.79734,0.61677,0.86548,0.67598,1.09568,0.0005545,0.0005545,0.0005545
47,5523.3,0.95136,0.87098,1.16623,0.80419,0.72388,0.79613,0.61755,0.86375,0.67593,1.09507,0.0005446,0.0005446,0.0005446
48,5639.67,0.93943,0.8616,1.16578,0.79722,0.72709,0.80184,0.62354,0.86028,0.67047,1.09083,0.0005347,0.0005347,0.0005347
49,5756.06,0.93733,0.86436,1.16224,0.80322,0.7293,0.80201,0.62356,0.85415,0.66362,1.08698,0.0005248,0.0005248,0.0005248
50,5873.35,0.9462,0.86015,1.16065,0.81125,0.71989,0.80324,0.62738,0.85375,0.66212,1.08585,0.0005149,0.0005149,0.0005149
51,5991.09,0.93412,0.85411,1.1579,0.82671,0.71202,0.80445,0.62511,0.85155,0.65314,1.08512,0.000505,0.000505,0.000505
52,6108.33,0.93202,0.84612,1.15526,0.8092,0.72868,0.81022,0.63108,0.84633,0.65074,1.07943,0.0004951,0.0004951,0.0004951
53,6225.31,0.93516,0.85039,1.15846,0.81605,0.72613,0.80839,0.6315,0.84196,0.65284,1.07634,0.0004852,0.0004852,0.0004852
54,6342.04,0.92632,0.83164,1.15594,0.82639,0.71797,0.81002,0.63462,0.83857,0.64822,1.07651,0.0004753,0.0004753,0.0004753
55,6459.4,0.92119,0.83117,1.15035,0.80946,0.73512,0.81002,0.63387,0.83941,0.64626,1.07653,0.0004654,0.0004654,0.0004654
56,6576.97,0.92694,0.84073,1.15367,0.8014,0.74401,0.81381,0.63678,0.83852,0.64078,1.07419,0.0004555,0.0004555,0.0004555
57,6693.16,0.91496,0.82552,1.14639,0.81215,0.72861,0.81143,0.63648,0.83568,0.6384,1.07338,0.0004456,0.0004456,0.0004456
58,6809.44,0.91002,0.82092,1.14238,0.80407,0.74365,0.81402,0.64035,0.83046,0.63727,1.071,0.0004357,0.0004357,0.0004357
59,6925.6,0.90758,0.80919,1.14165,0.82612,0.73052,0.81405,0.64045,0.82751,0.63202,1.06976,0.0004258,0.0004258,0.0004258
60,7041.72,0.90805,0.8108,1.13762,0.80727,0.73975,0.81435,0.6402,0.82643,0.62852,1.06718,0.0004159,0.0004159,0.0004159
61,7161.89,0.90421,0.80866,1.13768,0.84021,0.72043,0.81775,0.64418,0.82306,0.624,1.06498,0.000406,0.000406,0.000406
62,7286.62,0.90576,0.80177,1.13506,0.82887,0.72629,0.81805,0.64474,0.82048,0.62059,1.06264,0.0003961,0.0003961,0.0003961
